set_num,name,year,theme_id,num_parts,current_price,list_price
10019-1,Rebel Blockade Runner - UCS,2001.0,174.0,1747.0,1395.0,0.0
100-2,4.5V Motor with Wheels (Large Version),1966.0,243.0,27.0,0.0,0.0
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002.0,236.0,427.0,316.0,0.0
10020-2,"Santa Fe Super Chief, Limited Edition",2002.0,236.0,433.0,550.0,0.0
10021-1,U.S.S. Constellation,2003.0,404.0,974.0,0.0,0.0
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002.0,237.0,410.0,449.0,0.0
10023-1,Master Builder Set,2002.0,324.0,112.0,0.0,0.0
10024-1,Red Baron,2002.0,276.0,669.0,0.0,0.0
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002.0,237.0,325.0,340.0,0.0
10026-1,Naboo Starfighter - UCS,2002.0,172.0,187.0,1000.0,0.0
10027-1,Train Engine Shed,2003.0,239.0,670.0,0.0,0.0
10029-1,Lunar Lander,2003.0,387.0,468.0,0.0,0.0
10030-1,Imperial Star Destroyer - UCS,2002.0,174.0,3115.0,0.0,0.0
10036-1,Pizza To Go,2002.0,75.0,150.0,0.0,0.0
10037-1,Breezeway Cafe,2002.0,75.0,194.0,0.0,0.0
10039-1,Black Falcon's Fortress,2002.0,186.0,431.0,450.0,0.0
10040-1,Black Seas Barracuda,2002.0,147.0,914.0,0.0,0.0
10041-1,"Main Street, Reissue",2003.0,85.0,639.0,320.0,0.0
10042-1,American Flag,2003.0,206.0,35.0,0.0,0.0
10043-1,2x2 Electrical Plate,2002.0,254.0,1.0,0.0,0.0
10044-1,Windows and Doors,2002.0,254.0,44.0,0.0,0.0
10045-1,Pillars and Beams,2002.0,254.0,13.0,0.0,0.0
10046-1,Brown Tiles,2002.0,254.0,100.0,25.0,0.0
10047-1,Light Gray Arches,2002.0,254.0,36.0,7.95,0.0
10048-1,Small Wheels and Axles,2002.0,254.0,61.0,0.0,0.0
10049-1,Large Wheels and Axles,2002.0,254.0,31.0,0.0,0.0
10050-1,Gray Fences,2002.0,254.0,34.0,20.0,0.0
10051-1,Transparent Bricks,2002.0,254.0,50.0,0.0,0.0
10053-1,Black Slopes 33,2003.0,254.0,44.0,0.0,0.0
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003.0,254.0,68.0,0.0,0.0
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003.0,254.0,50.0,0.0,0.0
10056-1,White Plates 2 x n,2002.0,254.0,56.0,0.0,0.0
10057-1,Black Plates 2 x n,2002.0,254.0,56.0,0.0,0.0
10058-1,Red Plates 2 x n,2002.0,254.0,56.0,0.0,0.0
10059-1,Dark Green Plates 2 x n,2002.0,254.0,56.0,0.0,0.0
10060-1,Light Gray Plates 2 x n,2002.0,254.0,56.0,0.0,0.0
10061-1,Black Plates 1 x n,2002.0,254.0,84.0,0.0,0.0
10062-1,Red Plates 1 x n,2002.0,254.0,84.0,7.0,0.0
10063-1,Dark Green Plates 1 x n,2002.0,254.0,84.0,8.0,0.0
10064-1,Light Gray Plates 1 x n,2002.0,254.0,84.0,0.0,0.0
10065-1,White Plates 1 x n,2002.0,254.0,84.0,0.0,0.0
10066-1,Castle Accessories,2002.0,255.0,41.0,54.999,0.0
10067-1,Mini-Fig Headgear,2002.0,254.0,53.0,0.0,0.0
10068-1,Santa Claus,2002.0,227.0,39.0,5.175,0.0
10069-1,Christmas Tree,2002.0,227.0,33.0,0.0,0.0
10070-1,Reindeer,2002.0,227.0,26.0,6.0,0.0
10071-1,Mr. Bunny,2003.0,229.0,25.0,0.0,0.0
10072-1,TECHNIC Beams,2003.0,256.0,56.0,0.0,0.0
10073-1,Bushes,2003.0,256.0,130.0,10.98,0.0
10074-1,Cross Axles,2003.0,256.0,68.0,0.0,0.0
10075-1,Spider-Man Action Pack,2002.0,488.0,25.0,0.0,0.0
10076-1,TECHNIC Gear Wheels,2002.0,256.0,38.0,0.0,0.0
10077-1,TECHNIC Motor,2003.0,256.0,55.0,0.0,0.0
10078-1,Train Connection Wire,2003.0,257.0,1.0,75.0,0.0
10079-1,Snowman,2003.0,227.0,42.0,7.0,0.0
10080-1,Angel,2003.0,227.0,33.0,15.0,0.0
10081-1,Birthday Pack Heart,2004.0,500.0,70.0,0.0,0.0
10082-1,Birthday Pack Daisy,2004.0,500.0,70.0,0.0,0.0
10083-1,Birthday Pack Star,2004.0,500.0,70.0,0.0,0.0
10090-1,Turkey,2003.0,231.0,54.0,11.6617,0.0
10106-1,Snowflake,2006.0,227.0,107.0,0.0,0.0
101-1,4.5V Battery Case,1969.0,243.0,1.0,0.0,0.0
10111-1,Foliferous Tree,2001.0,254.0,10.0,0.0,0.0
10112-1,Bush,2001.0,254.0,25.0,0.0,0.0
10113-1,Cypress Trees,2001.0,254.0,5.0,0.0,0.0
10114-1,2 x 2 Sand Red Roof Tiles,2001.0,254.0,100.0,0.0,0.0
10115-1,Jumper Bricks,2001.0,254.0,80.0,0.0,0.0
10116-1,Accessories Heart,2004.0,500.0,50.0,0.0,0.0
10117-1,Accessories Daisy,2004.0,500.0,50.0,0.0,0.0
10118-1,Accessories Star,2004.0,500.0,50.0,0.0,0.0
10121-1,NBA Basketball Teams,2003.0,459.0,16.0,56.0,0.0
10123-1,Cloud City,2003.0,169.0,707.0,5499.99,0.0
10124-1,Wright Flyer,2003.0,276.0,663.0,299.99,0.0
10127-1,NHL Action Set with Stickers,2003.0,461.0,56.0,0.0,0.0
10128-1,Train Level Crossing,2003.0,239.0,326.0,228.0,0.0
10129-1,Rebel Snowspeeder - UCS,2003.0,174.0,1456.0,960.0,0.0
101-3,4.5V Battery Case,1966.0,243.0,1.0,0.0,0.0
10131-1,TIE Fighter Collection,2004.0,169.0,688.0,0.0,0.0
10132-1,Motorized Hogwarts Express,2004.0,246.0,693.0,0.0,0.0
10133-1,Burlington Northern Santa Fe Locomotive,2004.0,236.0,400.0,430.0,0.0
10134-1,Y-wing Attack Starfighter - UCS,2004.0,174.0,1487.0,0.0,0.0
10143-1,Death Star II,2005.0,174.0,3460.0,1800.0,0.0
10144-1,Sandcrawler,2005.0,169.0,1679.0,388.88,0.0
10145-1,Assorted Light Gray Bricks,2004.0,254.0,124.0,0.0,0.0
10146-1,Assorted Dark Gray Bricks,2004.0,254.0,62.0,0.0,0.0
10147-1,Assorted Brown Bricks,2004.0,254.0,62.0,0.0,0.0
10148-1,Assorted Light Gray Plates,2004.0,254.0,84.0,0.0,0.0
10149-1,Assorted Dark Gray Plates,2004.0,254.0,42.0,0.0,0.0
10150-1,Assorted Brown Plates,2004.0,254.0,42.0,0.0,0.0
10151-1,Hot Rod,2004.0,278.0,420.0,256.0,0.0
10152-1,Maersk Sealand Container Ship 2004 Edition,2004.0,276.0,982.0,200.0,0.0
10152-2,Maersk Sealand Container Ship 2005 Edition,2005.0,276.0,982.0,0.0,0.0
10152-3,Maersk Line Container Ship 2006 Edition,2006.0,276.0,982.0,0.0,0.0
10153-1,Electric Train Motor 9V (My Own Train),2002.0,244.0,3.0,80.0,0.0
10155-1,Maersk Line Container Ship 2010 Edition,2010.0,276.0,984.0,0.0,0.0
10156-1,LEGO Truck,2004.0,85.0,105.0,40.7277,0.0
10157-1,High Speed Train Locomotive,2004.0,239.0,134.0,120.0,0.0
10158-1,High Speed Train Car,2004.0,239.0,151.0,0.0,0.0
10159-1,City Airport -City Logo Box,2004.0,53.0,913.0,420.0,0.0
10159-2,City Airport -Full Size Image Box,2004.0,68.0,913.0,430.0,0.0
10160-1,Black Ridge Roof Tiles,2004.0,254.0,48.0,0.0,0.0
10161-1,Black Roof Tiles,2004.0,254.0,76.0,0.0,0.0
10162-1,Red Ridge Tiles,2004.0,254.0,48.0,0.0,0.0
10163-1,Red Roof Tiles,2004.0,254.0,76.0,0.0,0.0
10165-1,Elf Boy,2004.0,227.0,27.0,3.0,0.0
10166-1,Elf Girl,2004.0,227.0,31.0,0.0,0.0
10167-1,Brickmaster Kit (with Digital Designer CD),2004.0,301.0,182.0,12.0,0.0
10168-1,Mrs. Bunny,2005.0,229.0,64.0,9.0,0.0
10169-1,Chicken & Chicks,2005.0,229.0,60.0,0.0,0.0
10170-1,TTX Intermodal Double-Stack Car,2005.0,236.0,365.0,0.0,0.0
10173-1,Holiday Train,2006.0,236.0,969.0,499.97,0.0
10174-1,Imperial AT-ST - UCS,2006.0,174.0,1070.0,570.0,0.0
10175-1,Vader's TIE Advanced - UCS,2006.0,174.0,1211.0,979.0,0.0
10176-1,Royal King's Castle,2006.0,197.0,871.0,499.0,0.0
10177-1,Boeing 787 Dreamliner,2006.0,276.0,1196.0,635.0,0.0
10178-1,Motorized Walking AT-AT,2007.0,169.0,1137.0,590.0,0.0
10179-1,Millennium Falcon - UCS,2007.0,174.0,5195.0,1645.9363,0.0
10181-1,Eiffel Tower 1:300 Scale,2007.0,276.0,3428.0,0.0,0.0
10182-1,Cafe Corner,2007.0,155.0,2058.0,1850.0,0.0
10183-1,Hobby Train,2007.0,397.0,1080.0,480.0,0.0
10184-1,Town Plan,2008.0,104.0,2017.0,335.9511,0.0
10185-1,Green Grocer,2008.0,155.0,2358.0,1500.0,0.0
10186-1,General Grievous,2008.0,173.0,1084.0,375.0,0.0
10187-1,Volkswagen Beetle (VW Beetle),2008.0,276.0,1625.0,0.0,0.0
10188-1,Death Star,2008.0,174.0,3807.0,775.0,0.0
10189-1,Taj Mahal,2008.0,276.0,5922.0,0.0,0.0
10190-1,Market Street,2007.0,155.0,1250.0,3099.99,0.0
10191-1,Star Justice,2008.0,397.0,884.0,109.2469,0.0
10192-1,Space Skulls,2008.0,397.0,956.0,82.0,0.0
10193-1,Medieval Market Village,2009.0,193.0,1616.0,419.99,0.0
10194-1,Emerald Night,2009.0,240.0,1089.0,743.2448,0.0
10195-1,Republic Dropship with AT-OT,2009.0,165.0,1757.0,1439.5109,0.0
10196-1,Grand Carousel,2009.0,276.0,3260.0,2380.7918,0.0
10197-1,Fire Brigade,2009.0,155.0,2236.0,723.0887,0.0
10198-1,Tantive IV,2009.0,169.0,1408.0,379.95,0.0
10199-1,Winter Toy Shop,2009.0,227.0,815.0,220.2346,0.0
10-2,Universal Building Set,1976.0,469.0,129.0,0.0,0.0
10200-1,Custom Car Garage,2008.0,397.0,893.0,110.6153,0.0
10201-1,Takutanuva,2003.0,347.0,3.0,0.0,0.0
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004.0,347.0,6.0,0.0,0.0
10202-2,Ultimate Dume,2004.0,347.0,3.0,0.0,0.0
10203-1,Voporak,2005.0,347.0,3.0,270.0,0.0
10204-1,Vezon & Kardas,2006.0,347.0,3.0,0.0,0.0
10205-1,Locomotive,2002.0,238.0,231.0,0.0,0.0
102-1,4.5V Motor Set,1968.0,243.0,24.0,0.0,0.0
10210-1,Imperial Flagship,2010.0,153.0,1623.0,1275.374,0.0
10211-1,Grand Emporium,2010.0,155.0,2186.0,575.5196,0.0
10212-1,Imperial Shuttle - UCS,2010.0,174.0,2502.0,1050.0,0.0
10213-1,Shuttle Adventure,2010.0,276.0,1203.0,389.99,0.0
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010.0,443.0,29.0,0.0,0.0
10214-1,Tower Bridge,2010.0,276.0,4295.0,255.0,0.0
10215-1,Obi-Wan's Jedi Starfighter - UCS,2010.0,175.0,675.0,305.0699,0.0
10216-1,Winter Village Bakery,2010.0,227.0,686.0,355.0,0.0
10217-1,Diagon Alley,2011.0,246.0,2031.0,377.8796,0.0
10218-1,Pet Shop,2011.0,155.0,2034.0,325.0,0.0
10219-1,Maersk Container Train,2011.0,240.0,1232.0,420.0,0.0
10220-1,Volkswagen T1 Camper Van,2011.0,276.0,1333.0,135.0,0.0
10221-1,Super Star Destroyer,2011.0,174.0,3151.0,1499.99,0.0
10222-1,Winter Village Post Office,2011.0,227.0,821.0,499.0,0.0
10223-1,Kingdoms Joust,2012.0,196.0,1574.0,310.6422,0.0
10224-1,Town Hall,2012.0,155.0,2771.0,1106.7685,0.0
10225-1,R2-D2,2012.0,171.0,2130.0,230.0,0.0
10226-1,Sopwith Camel,2012.0,276.0,877.0,253.9885,0.0
10227-1,B-wing Starfighter,2012.0,174.0,1484.0,550.0,0.0
10228-1,Haunted House,2012.0,558.0,2062.0,495.0,0.0
10229-1,Winter Village Cottage,2012.0,227.0,1490.0,330.0,0.0
10230-1,Mini Modulars,2012.0,156.0,1358.0,238.22,0.0
10231-1,Shuttle Expedition,2011.0,276.0,1229.0,449.95,0.0
10232-1,Palace Cinema,2013.0,155.0,2192.0,449.99,149.99
10233-1,Horizon Express,2013.0,240.0,1349.0,313.5544,129.99
10234-1,Sydney Opera House,2013.0,276.0,2988.0,350.0,319.99
10235-1,Winter Village Market [Initial Release],2013.0,227.0,1259.0,209.68,99.99
10236-1,Ewok Village,2013.0,169.0,2023.0,539.991,249.99
10237-1,The Tower of Orthanc,2013.0,568.0,2360.0,799.0,199.99
10240-1,Red Five X-Wing Starfighter,2013.0,174.0,1573.0,300.0,199.99
10241-1,Maersk Line Triple-E,2014.0,38.0,1515.0,320.0,149.99
10242-1,Mini Cooper,2014.0,22.0,1074.0,220.0,99.99
10242-2,Mini Cooper,2015.0,22.0,1076.0,249.95,0.0
10243-1,Parisian Restaurant,2014.0,155.0,2469.0,299.1191,159.99
10244-1,Fairground Mixer,2014.0,22.0,1743.0,250.0,149.99
10245-1,Santa’s Workshop,2014.0,228.0,882.0,205.68,69.99
1024601-1,Adventurers Value Pack (TRU Exclusive),2001.0,297.0,3.0,0.0,0.0
10246-1,Detective’s Office,2015.0,155.0,2261.0,490.0,159.99
10247-1,Ferris Wheel,2015.0,22.0,2463.0,420.0,199.99
10248-1,Ferrari F40,2015.0,22.0,1157.0,315.0,99.99
10249-1,Winter Toy Shop,2015.0,227.0,895.0,200.0,79.99
10250-1,Year Of The Snake,2013.0,22.0,244.0,0.0,0.0
10251-1,Brick Bank,2016.0,155.0,2383.0,597.62,169.99
10252-1,Volkswagen Beetle,2016.0,22.0,1166.0,93.4188,99.99
10253-1,Big Ben,2016.0,43.0,4166.0,395.0,249.99
10254-1,Winter Holiday Train,2016.0,227.0,737.0,225.0,99.99
10255-1,Assembly Square,2017.0,155.0,4009.0,299.95,299.99
10257-1,Carousel,2017.0,22.0,2669.0,440.0,199.99
10285-1,Compass Sensor for Mindstorms NXT,2011.0,259.0,1.0,0.0,0.0
10287-1,Intelligent NXT Brick (Black),2009.0,259.0,1.0,180.0,0.0
1029-1,Milk Delivery Truck - Tine,1999.0,75.0,90.0,0.0,0.0
102A-1,Front-End Loader,1970.0,416.0,64.0,0.0,0.0
102A-2,Front-End Loader,1970.0,416.0,56.0,0.0,0.0
10-3,Locomotive Wheels,1977.0,456.0,8.0,0.0,0.0
1030-1,TECHNIC I: Simple Machines Set,1985.0,1.0,189.0,0.0,0.0
103-1,4.5V Motor Set with Rubber Tracks,1969.0,473.0,24.0,0.0,0.0
1031-1,Building Cards - 1030,1983.0,532.0,20.0,0.0,0.0
1032-1,TECHNIC II Set {4.5v},1985.0,1.0,278.0,106.25,0.0
1033-1,Building Cards - 1032,1985.0,532.0,20.0,0.0,0.0
1034-1,Teachers Resource Set,1985.0,532.0,1534.0,0.0,0.0
1038-1,ERBIE the Robo-Car,1985.0,1.0,120.0,0.0,0.0
1039-1,Manual Control Set 1,1986.0,1.0,39.0,0.0,0.0
104-1,Replacement 4.5V Motor,1970.0,243.0,1.0,0.0,0.0
1045-2,Educational LEGO Building Set,1976.0,511.0,683.0,0.0,0.0
1049-1,Ships - 247 elements and 1 poster,1985.0,510.0,238.0,0.0,0.0
10500-1,Horse Stable,2013.0,504.0,44.0,0.0,29.99
10501-1,Zoo friends,2013.0,504.0,5.0,0.0,4.99
10504-1,My First Circus,2013.0,504.0,62.0,0.0,34.99
10505-1,Play House,2013.0,504.0,83.0,0.0,59.99
10506-1,Train Accessory Set,2013.0,504.0,24.0,40.0884,19.99
10507-1,My First Train Set,2013.0,504.0,52.0,0.0,44.99
10508-1,Deluxe Train Set,2013.0,504.0,134.0,0.0,109.99
10509-1,Dusty and Chug,2013.0,504.0,16.0,0.0,14.99
105-1,Canada Post Truck,1984.0,81.0,65.0,0.0,0.0
10510-1,Ripslinger's Air Race,2013.0,504.0,40.0,0.0,24.99
10511-1,Skipper's Flight School,2013.0,504.0,49.0,0.0,39.99
10512-1,Jake's Treasure Hunt,2013.0,504.0,22.0,53.6025,14.99
10513-1,Never Land Hideout,2013.0,504.0,37.0,39.5676,24.99
10514-1,Jake's Pirate Ship Bucky,2013.0,504.0,56.0,0.0,39.99
10515-1,Ariel's Undersea Castle,2013.0,504.0,39.0,0.0,29.99
10516-1,Ariel's Magical Boat Ride,2012.0,504.0,29.0,0.0,14.99
10517-1,My First Garden,2013.0,504.0,37.0,0.0,12.99
10518-1,My First Construction Site,2013.0,504.0,47.0,0.0,19.99
105-2,Building Set,1973.0,469.0,150.0,0.0,0.0
10520-1,Big Front Loader,2013.0,504.0,12.0,0.0,19.99
10521-1,Baby Calf,2014.0,504.0,9.0,0.0,6.99
10522-1,Farm Animals,2014.0,504.0,12.0,18.22,9.99
10524-1,Farm Tractor,2014.0,504.0,29.0,0.0,19.99
10525-1,Big Farm,2014.0,504.0,121.0,0.0,59.99
10526-1,Peter Pan's Visit,2014.0,504.0,39.0,0.0,29.99
10527-1,Ambulance,2014.0,504.0,14.0,0.0,14.99
10528-1,School Bus,2014.0,504.0,26.0,0.0,19.99
10529-1,Truck,2014.0,504.0,16.0,0.0,14.99
1053-1,Community Buildings,1984.0,533.0,895.0,0.0,0.0
10531-1,Mickey Mouse and Friends,2012.0,504.0,65.0,0.0,0.0
10532-1,My First Police Set,2014.0,504.0,39.0,0.0,24.99
10538-1,Fire and Rescue Team,2014.0,506.0,30.0,0.0,29.99
10539-1,Beach Racing,2014.0,504.0,36.0,0.0,24.99
1054-1,Stena Line Ferry,1999.0,471.0,211.0,0.0,0.0
10542-1,Sleeping Beauty's Fairy Tale,2014.0,579.0,55.0,55.55,34.99
10543-1,Superman™ Rescue,2014.0,504.0,19.0,0.0,19.99
10544-1,The Joker Challenge,2014.0,504.0,40.0,0.0,29.99
10545-1,Batcave Adventure,2014.0,504.0,59.0,0.0,49.99
10546-1,My First Shop,2014.0,504.0,39.0,0.0,24.99
10550-1,Circus Transport,2013.0,504.0,9.0,0.0,19.99
10552-1,Creative Cars,2013.0,504.0,42.0,0.0,19.99
10553-1,Toddler Build and Play Cubes,2013.0,505.0,17.0,0.0,12.99
10554-1,Toddler Build and Pull Along,2013.0,505.0,15.0,0.0,14.99
10555-1,Creative Bucket,2013.0,505.0,65.0,0.0,29.99
10557-1,Giant Tower,2013.0,504.0,200.0,0.0,59.99
10558-1,Number Train,2013.0,504.0,31.0,0.0,19.99
1056-1,Basic School Pack - 773 elements with teacher's manual,1985.0,534.0,785.0,0.0,0.0
10561-1,Toddler Starter Building Set,2013.0,505.0,37.0,0.0,19.99
10565-1,LEGO® DUPLO® Creative Suitcase,2014.0,504.0,135.0,0.0,59.99
10566-1,Creative Picnic,2014.0,504.0,52.0,0.0,24.99
10567-1,Toddler Build and Boat Fun,2014.0,504.0,18.0,14.99,19.99
10568-1,Knight Tournament,2014.0,504.0,16.0,0.0,9.99
10569-1,Treasure Attack,2014.0,504.0,46.0,0.0,29.99
10570-1,LEGO® DUPLO® All-in-One-Gift-Set,2014.0,504.0,30.0,0.0,14.99
10571-1,All-in-One-Pink-Box-of-Fun,2014.0,504.0,65.0,36.0,29.99
10572-1,All-in-One-Box-of-Fun,2014.0,504.0,65.0,0.0,29.99
10573-1,Creative Animals,2014.0,504.0,25.0,0.0,14.99
10574-1,Creative Ice Cream,2014.0,504.0,23.0,0.0,14.99
10575-1,Duplo Creative Building Cube,2014.0,504.0,75.0,0.0,29.99
10576-1,Zoo Care,2014.0,504.0,9.0,0.0,6.99
10577-1,Big Royal Castle,2014.0,504.0,135.0,0.0,59.99
10579-1,Clubhouse Café,2014.0,504.0,16.0,0.0,12.99
10580-1,Deluxe Box of Fun,2014.0,504.0,95.0,0.0,49.99
10581-1,Forest: Ducks,2015.0,504.0,13.0,0.0,9.99
10582-1,Forest: Animals,2015.0,504.0,39.0,0.0,19.99
10583-1,Forest: Fishing Trip,2015.0,504.0,30.0,0.0,24.99
10584-1,Forest: Park,2015.0,504.0,102.0,0.0,59.99
10585-1,Mom and Baby,2015.0,504.0,13.0,0.0,9.99
10586-1,Ice Cream Truck,2015.0,504.0,11.0,0.0,14.99
10587-1,Café,2015.0,504.0,51.0,0.0,19.99
10589-1,Rally Car,2015.0,504.0,13.0,0.0,14.99
10590-1,Airport,2015.0,504.0,29.0,0.0,19.99
10591-1,Fire Boat,2015.0,504.0,19.0,25.0,14.99
10592-1,Fire Truck,2015.0,504.0,26.0,28.5,24.99
10593-1,Fire Station,2015.0,504.0,104.0,0.0,49.99
10594-1,Sofia the First™ Royal Stable,2015.0,504.0,38.0,0.0,24.99
10595-1,Sofia the First™ Royal Castle,2015.0,504.0,87.0,0.0,49.99
10596-1,Disney Princess™ Collection,2015.0,504.0,63.0,0.0,39.99
10597-1,Mickey & Minnie Birthday Parade,2015.0,504.0,24.0,16.8,24.99
10599-1,Batman Adventure,2015.0,504.0,46.0,0.0,39.99
10600-1,Disney • Pixar Cars™ Classic Race,2015.0,506.0,29.0,0.0,24.99
1060-1,Road Plates and Signs,1981.0,533.0,30.0,0.0,0.0
10601-1,Delivery Vehicle,2015.0,504.0,19.0,0.0,19.99
10602-1,Camping,2015.0,504.0,37.0,0.0,29.99
10603-1,My First Bus,2015.0,504.0,17.0,0.0,14.99
10604-1,Jake and the Never Land Pirates Treasure Island,2015.0,504.0,25.0,0.0,19.99
10605-1,Doc McStuffins Rosie the Ambulance,2015.0,504.0,16.0,0.0,19.99
10606-1,Doc McStuffins Backyard Clinic,2015.0,504.0,39.0,0.0,29.99
10607-1,Spider-Man Web-Bike Workshop,2015.0,504.0,13.0,0.0,14.99
10608-1,Spider-Man Spider Truck Adventure,2015.0,504.0,28.0,0.0,29.99
106-1,UNICEF Van,1985.0,79.0,59.0,0.0,0.0
1061-1,Single Disk Pack,2000.0,20.0,1.0,0.0,0.0
10615-1,My First Tractor,2015.0,504.0,12.0,0.0,14.99
10616-1,My First Playhouse,2015.0,504.0,25.0,0.0,19.99
10617-1,My First Farm,2015.0,504.0,26.0,0.0,19.99
10618-1,LEGO® DUPLO® Creative Building Box,2015.0,504.0,69.0,0.0,0.0
1062-1,{Town Vehicles},1980.0,533.0,158.0,0.0,0.0
10622-1,Large Creative Box,2015.0,504.0,193.0,0.0,0.0
10623-1,Basic Bricks – Large,2015.0,505.0,0.0,0.0,0.0
1063-1,Community Workers,1985.0,533.0,169.0,0.0,0.0
1064-1,Dacta Buildings,1981.0,533.0,0.0,0.0,0.0
1065-1,House Accessories - 182 elements,1985.0,534.0,196.0,0.0,0.0
10654-1,XL Creative Brick Box,2016.0,365.0,1599.0,0.0,0.0
10655-1,Monster Trucks,2013.0,37.0,197.0,0.0,19.99
10656-1,My First LEGO Princess,2013.0,22.0,88.0,0.0,9.99
10657-1,My First LEGO Set,2013.0,37.0,148.0,0.0,14.99
10659-1,Blue Suitcase,2013.0,37.0,152.0,0.0,24.99
10660-1,Pink Suitcase,2013.0,37.0,157.0,0.0,24.99
1066-1,36 Little People + Accessories,1982.0,533.0,174.0,0.0,0.0
10661-1,My First LEGO Fire Station,2013.0,22.0,90.0,0.0,9.99
10662-1,LEGO Creative Bucket,2013.0,37.0,607.0,0.0,29.99
10663-1,LEGO Creative Chest,2013.0,22.0,607.0,0.0,0.0
10664-1,Creative Tower,2013.0,22.0,1599.0,0.0,0.0
10665-1,Spider-Man: Spider-Car Pursuit,2014.0,591.0,55.0,25.0,12.99
10666-1,Digger,2014.0,591.0,75.0,0.0,9.99
10667-1,Construction,2014.0,591.0,159.0,0.0,14.99
10668-1,The Princess Play Castle,2014.0,591.0,149.0,0.0,14.99
10669-1,Turtle Lair,2014.0,591.0,107.0,40.0,19.99
1067-1,Community Vehicles,1988.0,507.0,251.0,0.0,0.0
10671-1,Fire Emergency,2014.0,591.0,123.0,0.0,19.99
10672-1,Batman: Defend the Batcave,2014.0,591.0,150.0,57.0,29.99
10673-1,Race Car Rally,2014.0,591.0,349.0,0.0,29.99
10674-1,Pony Farm,2014.0,591.0,305.0,0.0,29.99
