Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,set_num,current_price
30303,The Joker Bumper Car,2015,DC Comics Super Heroes,,47.0,1.0,3.99,30303,5.35
30311,Swamp Police Helicopter,2015,City,Swamp Police,51.0,1.0,3.49,30311,5.6085
30313,Garbage Truck,2015,City,,48.0,1.0,3.49,30313,7.99
30314,Go-Kart Racer,2015,City,,45.0,1.0,,30314,4.7683
30315,Space Utility Vehicle,2015,City,Space Port,37.0,1.0,3.99,30315,4.98
31027,Blue Racer,2015,Creator,,67.0,,4.99,31027,15.64
31028,Sea Plane,2015,Creator,,53.0,,4.99,31028,9.99
31029,Cargo Heli,2015,Creator,,132.0,,9.99,31029,17.5
31030,Red Go-Kart,2015,Creator,,106.0,,9.99,31030,
31031,Rainforest Animals,2015,Creator,,215.0,,14.99,31031,42.0
31032,Red Creatures,2015,Creator,,221.0,,14.99,31032,25.0
31033,Vehicle Transporter,2015,Creator,,264.0,,24.99,31033,60.0
31034,Future Flyer,2015,Creator,,237.0,,24.99,31034,75.0
31035,Beach Hut,2015,Creator,,286.0,2.0,29.99,31035,30.0
31036,Toy & Grocery Shop,2015,Creator,,466.0,2.0,39.99,31036,74.99
31037,Adventure Vehicles,2015,Creator,,282.0,,24.99,31037,14.8087
31038,Changing Seasons,2015,Creator,,536.0,2.0,49.99,31038,95.0
31039,Blue Power Jet,2015,Creator,,608.0,,69.99,31039,150.0
40120,Valentine's Day Dinner,2015,Seasonal,Valentines,114.0,2.0,9.99,40120,24.99
40121,Painting Easter Eggs,2015,Seasonal,Easter,153.0,2.0,9.99,40121,16.0
40122,Trick or Treat Halloween Set,2015,Seasonal,Halloween,133.0,,9.99,40122,50.0
40140,Flower Cart,2015,Creator,,71.0,1.0,4.99,40140,35.132
40153,Birthday Cake,2015,Miscellaneous,,120.0,,9.99,40153,19.99
40154,Iconic Pencil Pot,2015,Creator,,174.0,2.0,14.99,40154,16.99
40155,Piggy Coin Bank,2015,Miscellaneous,,148.0,,14.99,40155,22.99
40156,Organiser,2015,Friends,,171.0,,16.99,40156,19.0
40158,Pirates Chess Set,2015,Pirates,,857.0,20.0,59.99,40158,95.0
41060,Sleeping Beauty's Royal Bedroom,2015,Disney Princess,Sleeping Beauty,96.0,1.0,12.99,41060,19.0
41061,Jasmine's Exotic Palace,2015,Disney Princess,Aladdin,143.0,1.0,19.99,41061,30.0
41062,Elsa's Sparkling Ice Castle,2015,Disney Princess,Frozen,292.0,3.0,39.99,41062,43.99
41063,Ariel's Undersea Palace,2015,Disney Princess,The Little Mermaid,379.0,2.0,54.99,41063,
41071,Aira's Creative Workshop,2015,Elves,,98.0,1.0,9.99,41071,20.0
41072,Naida's Spa Secret,2015,Elves,,249.0,1.0,19.99,41072,
41073,Naida's Epic Adventure Ship,2015,Elves,,312.0,2.0,29.99,41073,59.99
41074,Azari and the Magical Bakery,2015,Elves,,324.0,2.0,29.99,41074,44.99
41075,The Elves' Treetop Hideaway,2015,Elves,,505.0,3.0,49.99,41075,110.0
41076,Farran and the Crystal Hollow,2015,Elves,,175.0,1.0,14.99,41076,25.383
41077,Aira's Pegasus Sleigh,2015,Elves,,319.0,2.0,39.99,41077,50.0
41078,Skyra's Mysterious Sky Castle,2015,Elves,,808.0,3.0,79.99,41078,
41085,Vet Clinic,2015,Friends,,192.0,1.0,19.99,41085,40.0
41086,Vet Ambulance,2015,Friends,,89.0,1.0,9.99,41086,
41087,Bunny & Babies,2015,Friends,,47.0,,4.99,41087,19.99
41088,Puppy Training,2015,Friends,,65.0,,4.99,41088,8.99
41089,Little Foal,2015,Friends,,43.0,,4.99,41089,8.99
41090,Olivia's Garden Pool,2015,Friends,,82.0,1.0,9.99,41090,
41091,Mia's Roadster,2015,Friends,,187.0,1.0,14.99,41091,19.0
41092,Stephanie's Pizzeria,2015,Friends,,87.0,1.0,9.99,41092,18.0
41093,Heartlake Hair Salon,2015,Friends,,318.0,2.0,29.99,41093,37.341
41094,Heartlake Lighthouse,2015,Friends,,473.0,2.0,39.99,41094,
41095,Emma's House,2015,Friends,,706.0,3.0,69.99,41095,150.0
41097,Heartlake Hot Air Balloon,2015,Friends,,254.0,2.0,29.99,41097,26.99
41098,Emma's Tourist Kiosk,2015,Friends,,98.0,1.0,9.99,41098,22.272
41099,Heartlake Skate Park,2015,Friends,,199.0,1.0,19.99,41099,23.99
41100,Heartlake Private Jet,2015,Friends,,230.0,2.0,29.99,41100,
41101,Heartlake Grand Hotel,2015,Friends,,1552.0,5.0,129.99,41101,150.0
41102,Friends Advent Calendar,2015,Friends,Seasonal,233.0,,29.99,41102,
41103,Pop Star Recording Studio,2015,Friends,,172.0,1.0,14.99,41103,25.99
41104,Pop Star Dressing Room,2015,Friends,,279.0,2.0,29.99,41104,
41105,Pop Star Show Stage,2015,Friends,,446.0,2.0,39.99,41105,48.0886
41106,Pop Star Tour Bus,2015,Friends,,682.0,3.0,59.99,41106,109.99
41107,Pop Star Limousine,2015,Friends,,265.0,2.0,24.99,41107,
41108,Heartlake Food Market,2015,Friends,,388.0,2.0,39.99,41108,
41109,Heartlake City Airport,2015,Friends,,692.0,3.0,89.99,41109,103.99
41527,Rokit,2015,Mixels,Series 4,66.0,,4.99,41527,10.4518
41528,Niksput,2015,Mixels,Series 4,62.0,,4.99,41528,10.0
41529,Nurp-Naut,2015,Mixels,Series 4,52.0,,4.99,41529,15.0
41530,Meltus,2015,Mixels,Series 4,66.0,,4.99,41530,20.0
41531,Flamzer,2015,Mixels,Series 4,60.0,,4.99,41531,18.0
41532,Burnard,2015,Mixels,Series 4,59.0,,4.99,41532,20.0
41533,Globert,2015,Mixels,Series 4,45.0,,4.99,41533,15.0
41534,Vampos,2015,Mixels,Series 4,59.0,,4.99,41534,13.5
41535,Boogly,2015,Mixels,Series 4,52.0,,4.99,41535,10.0
41536,Gox,2015,Mixels,Series 5,62.0,,4.99,41536,14.99
41537,Jinky,2015,Mixels,Series 5,59.0,,4.99,41537,20.0
41538,Kamzo,2015,Mixels,Series 5,58.0,,4.99,41538,9.0
41539,Krog,2015,Mixels,Series 5,60.0,,4.99,41539,14.8087
41540,Chilbo,2015,Mixels,Series 5,65.0,,4.99,41540,14.5
41541,Snoof,2015,Mixels,Series 5,54.0,,4.99,41541,14.8087
41542,Spugg,2015,Mixels,Series 5,51.0,,4.99,41542,18.0
41543,Turg,2015,Mixels,Series 5,56.0,,4.99,41543,8.0
41544,Tungster,2015,Mixels,Series 5,60.0,,4.99,41544,
41545,Kramm,2015,Mixels,Series 6,,,4.99,41545,14.0
41546,Forx,2015,Mixels,Series 6,,,4.99,41546,9.0
41547,Wuzzo,2015,Mixels,Series 6,,,4.99,41547,10.0
41548,Dribbal,2015,Mixels,Series 6,,,4.99,41548,11.1141
41549,Gurggle,2015,Mixels,Series 6,,,4.99,41549,15.0
41550,Slusho,2015,Mixels,Series 6,,,4.99,41550,11.1141
41551,Snax,2015,Mixels,Series 6,,,4.99,41551,20.0
41552,Berp,2015,Mixels,Series 6,,,4.99,41552,20.0
41553,Vaka-Waka,2015,Mixels,Series 6,,,4.99,41553,17.95
42031,Cherry Picker,2015,Technic,,155.0,,12.99,42031,
42032,Compact Tracked Loader,2015,Technic,,252.0,,19.99,42032,55.0
42033,Record Breaker,2015,Technic,,125.0,,19.99,42033,
42034,Quad Bike,2015,Technic,,148.0,,19.99,42034,37.99
42035,Mining Truck,2015,Technic,,362.0,,29.99,42035,44.8
42036,Street Motorcycle,2015,Technic,,375.0,,39.99,42036,69.5
42037,Formula Off-Roader,2015,Technic,,494.0,,59.99,42037,
42038,Arctic Truck,2015,Technic,,913.0,,84.99,42038,
42039,24 Hours Race Car,2015,Technic,,1219.0,,129.99,42039,200.0
42040,Fire Plane,2015,Technic,,578.0,,49.99,42040,109.99
42041,Race Truck,2015,Technic,,608.0,,69.99,42041,
42042,Crawler Crane,2015,Technic,,1401.0,,149.99,42042,298.88
42043,Mercedes-Benz Arocs 3245,2015,Technic,,2793.0,,229.99,42043,400.0
45008,Math Train,2015,Education,Duplo,167.0,,99.99,,
45517,Transformer 10V DC,2015,Mindstorms,,1.0,,29.99,45517,9.5
5002941,Bionicle Hero Pack,2015,Bionicle,,9.0,,,5002941,3.99
5004735,Spaceport and Jet,2015,City,Virtual Product Collection,1034.0,,169.98,,
5004736,City Space Port Starter & Shuttle Collection,2015,City,Virtual Product Collection,262.0,,34.98,,
5004737,Deep Sea Explorers Collection,2015,City,Virtual Product Collection,430.0,,56.98,,
5004809,Friends Pop Star Collection,2015,Friends,Virtual Product Collection,,,109.96,,
5004815,Marvel Super Heroes Collection,2015,Marvel Super Heroes,VIrtual Product Collection,,,52.98,,
5004816,Super Heroes DC Collection,2015,DC Comics Super Heroes,,,,149.98,,
5004817,Ninjago Collection,2015,Ninjago,Virtual Product Collection,,,189.98,,
5004818,Minecraft Collection,2015,Minecraft,Virtual Product Collection,,,194.96,,
5004819,Elves Collection,2015,Elves,Virtual Product Collection,,,119.98,,
5004820,Doc McStuffins Collection,2015,Duplo,Virtual Product Collection,,,49.98,,
60065,ATV Patrol,2015,City,Swamp Police,59.0,2.0,6.99,60065,10.8251
60066,Swamp Police Starter Set,2015,City,Swamp Police,78.0,4.0,9.99,60066,20.0
60067,Helicopter Pursuit,2015,City,Swamp Police,253.0,3.0,39.99,60067,35.0
60068,Crooks' Hideout,2015,City,Swamp Police,473.0,5.0,69.99,60068,49.2915
60069,Swamp Police Station,2015,City,Swamp Police,707.0,6.0,89.99,60069,157.0
60070,Water Plane Chase,2015,City,Swamp Police,263.0,2.0,29.99,60070,34.608
60071,Hovercraft Arrest,2015,City,Swamp Police,331.0,3.0,44.99,60071,
60072,Demolition Starter Set,2015,City,Construction,85.0,4.0,9.99,60072,15.0
60073,Service Truck,2015,City,Construction,233.0,2.0,24.99,60073,59.99
60074,Bulldozer,2015,City,Construction,384.0,2.0,39.99,60074,85.0
60075,Excavator and Truck,2015,City,Construction,311.0,2.0,49.99,60075,94.99
60076,Demolition Site,2015,City,Construction,776.0,5.0,89.99,60076,189.99
60077,Space Starter Set,2015,City,Space Port,107.0,4.0,9.99,60077,20.0
60078,Utility Shuttle,2015,City,Space Port,155.0,2.0,24.99,60078,45.0
60079,Training Jet Transporter,2015,City,Space Port,448.0,3.0,49.99,60079,63.4574
60080,Spaceport,2015,City,Space Port,586.0,5.0,119.99,60080,161.1275
60081,Pickup Tow Truck,2015,City,Traffic,209.0,2.0,19.99,60081,36.9838
60082,Dune Buggy Trailer,2015,City,Traffic,222.0,2.0,19.99,60082,25.0
60083,Snowplough Truck,2015,City,Traffic,196.0,1.0,19.99,60083,50.0
60084,Racing Bike Transporter,2015,City,Traffic,178.0,2.0,19.99,60084,
60085,4x4 with Powerboat,2015,City,Traffic,301.0,2.0,29.99,60085,56.0
60086,LEGO City Starter Set,2015,City,Traffic,242.0,5.0,29.99,60086,
60088,Fire Starter Set,2015,City,Fire,92.0,4.0,9.99,60088,
60090,Deep Sea Scuba Scooter,2015,City,Deep Sea Explorers,42.0,1.0,6.99,60090,11.24
60091,Deep Sea Starter Set,2015,City,Deep Sea Explorers,90.0,3.0,9.99,60091,30.0
60092,Deep Sea Submarine,2015,City,Deep Sea Explorers,274.0,3.0,39.99,60092,60.0
60093,Deep Sea Helicopter,2015,City,Deep Sea Explorers,388.0,3.0,49.99,60093,75.0
60095,Deep Sea Exploration Vessel,2015,City,Deep Sea Explorers,717.0,7.0,119.99,60095,130.89
60096,Deep Sea Operation Base,2015,City,Deep Sea Explorers,907.0,,99.99,60096,127.45
60097,City Square,2015,City,Traffic,1683.0,14.0,189.99,60097,171.95
60098,Heavy-Haul Train,2015,City,Trains,984.0,5.0,199.99,60098,325.0
60099,City Advent Calendar,2015,City,Seasonal,278.0,,29.99,60099,33.92
70166,Spyclops Infiltration,2015,Ultra Agents,,109.0,2.0,9.99,70166,39.99
70167,Invizable Gold Getaway,2015,Ultra Agents,,237.0,2.0,19.99,70167,
70168,Drillex Diamond Job,2015,Ultra Agents,,312.0,2.0,29.99,70168,38.88
70169,Agent Stealth Patrol,2015,Ultra Agents,,475.0,4.0,49.99,70169,36.3178
70170,UltraCopter vs. AntiMatter,2015,Ultra Agents,,614.0,4.0,79.99,70170,
70171,Ultrasonic Showdown,2015,Ultra Agents,,187.0,2.0,19.99,70171,
70172,AntiMatter's Portal Hideout,2015,Ultra Agents,,475.0,4.0,69.99,70172,
70173,Ultra Agents Ocean HQ,2015,Ultra Agents,,1204.0,5.0,99.99,70173,
70220,Strainor's Saber Cycle,2015,Legends of Chima,,161.0,2.0,14.99,70220,
70221,Flinx's Ultimate Phoenix,2015,Legends of Chima,,172.0,2.0,19.99,70221,
70222,Tormak's Shadow Blazer,2015,Legends of Chima,,311.0,3.0,29.99,70222,
70223,Icebite's Claw Driller,2015,Legends of Chima,,629.0,4.0,49.99,70223,79.99
70224,Tiger's Mobile Command,2015,Legends of Chima,,712.0,6.0,79.99,70224,
70225,Bladvic's Rumble Bear,2015,Legends of Chima,,415.0,3.0,39.99,70225,45.0141
70226,Mammoth's Frozen Stronghold,2015,Legends of Chima,,621.0,5.0,59.99,70226,
70227,King Crominus' Rescue,2015,Legends of Chima,,863.0,6.0,89.99,70227,94.491
70228,Vultrix's Sky Scavenger,2015,Legends of Chima,,480.0,3.0,39.99,70228,44.99
70229, Lion Tribe Pack,2015,Legends of Chima,,78.0,3.0,9.99,70229,18.5
70230,Ice Bear Tribe Pack,2015,Legends of Chima,,75.0,3.0,9.99,70230,29.99
70231,Crocodile Tribe Pack,2015,Legends of Chima,,72.0,3.0,9.99,70231,21.5
70232,Saber Tooth Tiger Tribe Pack,2015,Legends of Chima,,74.0,3.0,9.99,70232,
70409,Shipwreck Defence,2015,Pirates,,84.0,2.0,12.99,70409,45.0
70410,Soldiers Outpost,2015,Pirates,,164.0,3.0,19.99,70410,74.99
70411,Treasure Island,2015,Pirates,,181.0,3.0,19.99,70411,74.99
70412,Soldiers Fort,2015,Pirates,,234.0,5.0,29.99,70412,149.99
70413,The Brick Bounty,2015,Pirates,,745.0,7.0,99.99,70413,296.955
70730,Chain Cycle Ambush,2015,Ninjago,,298.0,,29.99,70730,43.3004
70731,Jay Walker One,2015,Ninjago,,386.0,,39.99,70731,
70732,City of Stiix,2015,Ninjago,,1069.0,8.0,99.99,70732,298.0
70733, Blaster Bike,2015,Ninjago,,212.0,2.0,19.99,70733,79.2
70734,Master Wu Dragon,2015,Ninjago,,575.0,5.0,39.99,70734,113.48
70735,Ronin R.E.X.,2015,Ninjago,,547.0,,49.99,70735,100.0
70736,Attack of the Morro Dragon,2015,Ninjago,,658.0,6.0,69.99,70736,60.3
70737,Titan Mech Battle,2015,Ninjago,,754.0,5.0,59.99,70737,
70738,Final Flight of Destiny's Bounty,2015,Ninjago,,1253.0,9.0,119.99,70738,385.0
70739,Airjitzu Kai Flyer,2015,Ninjago,Airjitzu,46.0,1.0,9.99,70739,24.0
70740,Airjitzu Jay Flyer,2015,Ninjago,Airjitzu,45.0,1.0,9.99,70740,28.0
70741,Airjitzu Cole Flyer,2015,Ninjago,Airjitzu,47.0,1.0,9.99,70741,25.0
70742,Airjitzu Zane Flyer,2015,Ninjago,Airjitzu,42.0,1.0,9.99,70742,34.95
70743,Airjitzu Morro Flyer,2015,Ninjago,Airjitzu,46.0,1.0,9.99,70743,
70744,Airjitzu Wrayth Flyer,2015,Ninjago,Airjitzu,43.0,,9.99,70744,23.5
70745,Anacondrai Crusher,2015,Ninjago,,219.0,2.0,19.99,70745,
70746,Condrai Copter Attack,2015,Ninjago,,311.0,3.0,29.99,70746,110.0
70747,Boulder Blaster,2015,Ninjago,,236.0,3.0,29.99,70747,59.0
70748,Titanium Dragon,2015,Ninjago,,360.0,3.0,39.99,70748,93.3289
70749,Enter the Serpent,2015,Ninjago,,529.0,5.0,59.99,70749,89.99
70750,Ninja DB X,2015,Ninjago,,756.0,7.0,79.99,70750,
70751,Temple of Airjitzu,2015,Ninjago,,2028.0,13.0,199.99,70751,400.5
70752,Jungle Trap,2015,Ninjago,,58.0,2.0,6.99,70752,24.99
70753,Lava Falls,2015,Ninjago,,94.0,2.0,7.99,70753,29.99
70754,ElectroMech,2015,Ninjago,,153.0,2.0,14.99,70754,32.8
70755,Jungle Raider ,2015,Ninjago,,188.0,2.0,19.99,70755,36.7079
70756,Dojo Showdown,2015,Ninjago,,215.0,4.0,24.99,70756,125.0
70778,Protector of Jungle,2015,Bionicle,,64.0,,9.99,70778,
70779,Protector of Stone,2015,Bionicle,,73.0,,9.99,70779,
70780,Protector of Water,2015,Bionicle,,71.0,,9.99,70780,11.0
70781,Protector of Earth,2015,Bionicle,,66.0,,9.99,70781,38.0
70782,Protector of Ice,2015,Bionicle,,68.0,,9.99,70782,9.99
70783,Protector of Fire,2015,Bionicle,,69.0,,9.99,70783,
70784,Lewa - Master of Jungle,2015,Bionicle,,85.0,,14.99,70784,
70785,Pohatu - Master of Stone,2015,Bionicle,,66.0,,14.99,70785,
70786,Gali - Master of Water,2015,Bionicle,,87.0,,14.99,70786,48.0
70787,Tahu - Master of Fire,2015,Bionicle,,89.0,,19.99,70787,
70788,Kopaka - Master of Ice,2015,Bionicle,,97.0,,19.99,70788,
70789,Onua - Master of Earth,2015,Bionicle,,108.0,,19.99,70789,45.0
70790,Lord of Skull Spiders,2015,Bionicle,,145.0,,14.99,70790,49.99
70791,Skull Warrior,2015,Bionicle,,,,14.99,70791,25.4915
70792,Skull Slicer,2015,Bionicle,,,,14.99,70792,48.0
70793,Skull Basher,2015,Bionicle,,,,14.99,70793,28.985
70794,Skull Scorpio,2015,Bionicle,,,,14.99,70794,
70795,Mask Maker vs. Skull Grinder,2015,Bionicle,,,,29.99,70795,125.0
70817,Batman & Super Angry Kitty Attack,2015,The LEGO Movie,,115.0,3.0,9.99,70817,14.7569
70818,Double-Decker Couch,2015,The LEGO Movie,,197.0,5.0,14.99,70818,40.0
70819,Bad Cop Car Chase,2015,The LEGO Movie,,292.0,4.0,29.99,70819,80.0
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,125.0
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,125.0
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Classic King,2015,Collectable Minifigures,Series 13,9.0,1.0,3.99,71008,
71008,Sheriff,2015,Collectable Minifigures,Series 13,8.0,1.0,3.99,71008,
71008,Sheriff,2015,Collectable Minifigures,Series 13,8.0,1.0,3.99,71008,
71008,Sheriff,2015,Collectable Minifigures,Series 13,8.0,1.0,3.99,71008,
71008,Sheriff,2015,Collectable Minifigures,Series 13,8.0,1.0,3.99,71008,
