Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,USD_MSRP,Current_Price
41538,Kamzo,2015,Mixels,Series 5,58.0,,4.99,9.0000
41539,Krog,2015,Mixels,Series 5,60.0,,4.99,14.8087
41540,Chilbo,2015,Mixels,Series 5,65.0,,4.99,14.5000
41541,Snoof,2015,Mixels,Series 5,54.0,,4.99,14.8087
41542,Spugg,2015,Mixels,Series 5,51.0,,4.99,18.0000
41543,Turg,2015,Mixels,Series 5,56.0,,4.99,8.0000
41544,Tungster,2015,Mixels,Series 5,60.0,,4.99,
41545,Kramm,2015,Mixels,Series 6,,,4.99,14.0000
41546,Forx,2015,Mixels,Series 6,,,4.99,9.0000
41547,Wuzzo,2015,Mixels,Series 6,,,4.99,10.0000
41548,Dribbal,2015,Mixels,Series 6,,,4.99,11.1141
41549,Gurggle,2015,Mixels,Series 6,,,4.99,15.0000
41550,Slusho,2015,Mixels,Series 6,,,4.99,11.1141
41551,Snax,2015,Mixels,Series 6,,,4.99,20.0000
41552,Berp,2015,Mixels,Series 6,,,4.99,20.0000
41553,Vaka-Waka,2015,Mixels,Series 6,,,4.99,17.9500
42031,Cherry Picker,2015,Technic,,155.0,,12.99,
42032,Compact Tracked Loader,2015,Technic,,252.0,,19.99,55.0000
42033,Record Breaker,2015,Technic,,125.0,,19.99,
42034,Quad Bike,2015,Technic,,148.0,,19.99,37.9900
42035,Mining Truck,2015,Technic,,362.0,,29.99,44.8000
42036,Street Motorcycle,2015,Technic,,375.0,,39.99,69.5000
42037,Formula Off-Roader,2015,Technic,,494.0,,59.99,
42038,Arctic Truck,2015,Technic,,913.0,,84.99,
42039,24 Hours Race Car,2015,Technic,,1219.0,,129.99,200.0000
42040,Fire Plane,2015,Technic,,578.0,,49.99,109.9900
42041,Race Truck,2015,Technic,,608.0,,69.99,
42042,Crawler Crane,2015,Technic,,1401.0,,149.99,298.8800
42043,Mercedes-Benz Arocs 3245,2015,Technic,,2793.0,,229.99,400.0000
45008,Math Train,2015,Education,Duplo,167.0,,99.99,
45517,Transformer 10V DC,2015,Mindstorms,,1.0,,29.99,9.5000
5002941,Bionicle Hero Pack,2015,Bionicle,,9.0,,,3.9900
5004735,Spaceport and Jet,2015,City,Virtual Product Collection,1034.0,,169.98,
5004736,City Space Port Starter & Shuttle Collection,2015,City,Virtual Product Collection,262.0,,34.98,
5004737,Deep Sea Explorers Collection,2015,City,Virtual Product Collection,430.0,,56.98,
5004809,Friends Pop Star Collection,2015,Friends,Virtual Product Collection,,,109.96,
5004815,Marvel Super Heroes Collection,2015,Marvel Super Heroes,VIrtual Product Collection,,,52.98,
5004816,Super Heroes DC Collection,2015,DC Comics Super Heroes,,,,149.98,
5004817,Ninjago Collection,2015,Ninjago,Virtual Product Collection,,,189.98,
5004818,Minecraft Collection,2015,Minecraft,Virtual Product Collection,,,194.96,
5004819,Elves Collection,2015,Elves,Virtual Product Collection,,,119.98,
5004820,Doc McStuffins Collection,2015,Duplo,Virtual Product Collection,,,49.98,
60065,ATV Patrol,2015,City,Swamp Police,59.0,2.0,6.99,10.8251
60066,Swamp Police Starter Set,2015,City,Swamp Police,78.0,4.0,9.99,20.0000
60067,Helicopter Pursuit,2015,City,Swamp Police,253.0,3.0,39.99,35.0000
60068,Crooks' Hideout,2015,City,Swamp Police,473.0,5.0,69.99,49.2915
60069,Swamp Police Station,2015,City,Swamp Police,707.0,6.0,89.99,157.0000
60070,Water Plane Chase,2015,City,Swamp Police,263.0,2.0,29.99,34.6080
60071,Hovercraft Arrest,2015,City,Swamp Police,331.0,3.0,44.99,
60072,Demolition Starter Set,2015,City,Construction,85.0,4.0,9.99,15.0000
60073,Service Truck,2015,City,Construction,233.0,2.0,24.99,59.9900
60074,Bulldozer,2015,City,Construction,384.0,2.0,39.99,85.0000
60075,Excavator and Truck,2015,City,Construction,311.0,2.0,49.99,94.9900
60076,Demolition Site,2015,City,Construction,776.0,5.0,89.99,189.9900
60077,Space Starter Set,2015,City,Space Port,107.0,4.0,9.99,20.0000
60078,Utility Shuttle,2015,City,Space Port,155.0,2.0,24.99,45.0000
60079,Training Jet Transporter,2015,City,Space Port,448.0,3.0,49.99,63.4574
60080,Spaceport,2015,City,Space Port,586.0,5.0,119.99,161.1275
60081,Pickup Tow Truck,2015,City,Traffic,209.0,2.0,19.99,36.9838
60082,Dune Buggy Trailer,2015,City,Traffic,222.0,2.0,19.99,25.0000
60083,Snowplough Truck,2015,City,Traffic,196.0,1.0,19.99,50.0000
60084,Racing Bike Transporter,2015,City,Traffic,178.0,2.0,19.99,
60085,4x4 with Powerboat,2015,City,Traffic,301.0,2.0,29.99,56.0000
60086,LEGO City Starter Set,2015,City,Traffic,242.0,5.0,29.99,
60088,Fire Starter Set,2015,City,Fire,92.0,4.0,9.99,
60090,Deep Sea Scuba Scooter,2015,City,Deep Sea Explorers,42.0,1.0,6.99,11.2400
60091,Deep Sea Starter Set,2015,City,Deep Sea Explorers,90.0,3.0,9.99,30.0000
60092,Deep Sea Submarine,2015,City,Deep Sea Explorers,274.0,3.0,39.99,60.0000
60093,Deep Sea Helicopter,2015,City,Deep Sea Explorers,388.0,3.0,49.99,75.0000
60095,Deep Sea Exploration Vessel,2015,City,Deep Sea Explorers,717.0,7.0,119.99,130.8900
60096,Deep Sea Operation Base,2015,City,Deep Sea Explorers,907.0,,99.99,127.4500
60097,City Square,2015,City,Traffic,1683.0,14.0,189.99,171.9500
60098,Heavy-Haul Train,2015,City,Trains,984.0,5.0,199.99,325.0000
60099,City Advent Calendar,2015,City,Seasonal,278.0,,29.99,33.9200
70166,Spyclops Infiltration,2015,Ultra Agents,,109.0,2.0,9.99,39.9900
70167,Invizable Gold Getaway,2015,Ultra Agents,,237.0,2.0,19.99,
70168,Drillex Diamond Job,2015,Ultra Agents,,312.0,2.0,29.99,38.8800
70169,Agent Stealth Patrol,2015,Ultra Agents,,475.0,4.0,49.99,36.3178
70170,UltraCopter vs. AntiMatter,2015,Ultra Agents,,614.0,4.0,79.99,
70171,Ultrasonic Showdown,2015,Ultra Agents,,187.0,2.0,19.99,
70172,AntiMatter's Portal Hideout,2015,Ultra Agents,,475.0,4.0,69.99,
70173,Ultra Agents Ocean HQ,2015,Ultra Agents,,1204.0,5.0,99.99,
70220,Strainor's Saber Cycle,2015,Legends of Chima,,161.0,2.0,14.99,
70221,Flinx's Ultimate Phoenix,2015,Legends of Chima,,172.0,2.0,19.99,
70222,Tormak's Shadow Blazer,2015,Legends of Chima,,311.0,3.0,29.99,
70223,Icebite's Claw Driller,2015,Legends of Chima,,629.0,4.0,49.99,79.9900
70224,Tiger's Mobile Command,2015,Legends of Chima,,712.0,6.0,79.99,
70225,Bladvic's Rumble Bear,2015,Legends of Chima,,415.0,3.0,39.99,45.0141
70226,Mammoth's Frozen Stronghold,2015,Legends of Chima,,621.0,5.0,59.99,
70227,King Crominus' Rescue,2015,Legends of Chima,,863.0,6.0,89.99,94.4910
70228,Vultrix's Sky Scavenger,2015,Legends of Chima,,480.0,3.0,39.99,44.9900
70229, Lion Tribe Pack,2015,Legends of Chima,,78.0,3.0,9.99,18.5000
70230,Ice Bear Tribe Pack,2015,Legends of Chima,,75.0,3.0,9.99,29.9900
70231,Crocodile Tribe Pack,2015,Legends of Chima,,72.0,3.0,9.99,21.5000
70232,Saber Tooth Tiger Tribe Pack,2015,Legends of Chima,,74.0,3.0,9.99,
70409,Shipwreck Defence,2015,Pirates,,84.0,2.0,12.99,45.0000
70410,Soldiers Outpost,2015,Pirates,,164.0,3.0,19.99,74.9900
70411,Treasure Island,2015,Pirates,,181.0,3.0,19.99,74.9900
70412,Soldiers Fort,2015,Pirates,,234.0,5.0,29.99,149.9900
70413,The Brick Bounty,2015,Pirates,,745.0,7.0,99.99,296.9550
70730,Chain Cycle Ambush,2015,Ninjago,,298.0,,29.99,43.3004
70731,Jay Walker One,2015,Ninjago,,386.0,,39.99,
70732,City of Stiix,2015,Ninjago,,1069.0,8.0,99.99,298.0000
70733, Blaster Bike,2015,Ninjago,,212.0,2.0,19.99,79.2000
70734,Master Wu Dragon,2015,Ninjago,,575.0,5.0,39.99,113.4800
70735,Ronin R.E.X.,2015,Ninjago,,547.0,,49.99,100.0000
70736,Attack of the Morro Dragon,2015,Ninjago,,658.0,6.0,69.99,60.3000
70737,Titan Mech Battle,2015,Ninjago,,754.0,5.0,59.99,
70738,Final Flight of Destiny's Bounty,2015,Ninjago,,1253.0,9.0,119.99,385.0000
70739,Airjitzu Kai Flyer,2015,Ninjago,Airjitzu,46.0,1.0,9.99,24.0000
70740,Airjitzu Jay Flyer,2015,Ninjago,Airjitzu,45.0,1.0,9.99,28.0000
70741,Airjitzu Cole Flyer,2015,Ninjago,Airjitzu,47.0,1.0,9.99,25.0000
70742,Airjitzu Zane Flyer,2015,Ninjago,Airjitzu,42.0,1.0,9.99,34.9500
70743,Airjitzu Morro Flyer,2015,Ninjago,Airjitzu,46.0,1.0,9.99,
70744,Airjitzu Wrayth Flyer,2015,Ninjago,Airjitzu,43.0,,9.99,23.5000
70745,Anacondrai Crusher,2015,Ninjago,,219.0,2.0,19.99,
70746,Condrai Copter Attack,2015,Ninjago,,311.0,3.0,29.99,110.0000
70747,Boulder Blaster,2015,Ninjago,,236.0,3.0,29.99,59.0000
70748,Titanium Dragon,2015,Ninjago,,360.0,3.0,39.99,93.3289
70749,Enter the Serpent,2015,Ninjago,,529.0,5.0,59.99,89.9900
70750,Ninja DB X,2015,Ninjago,,756.0,7.0,79.99,
70751,Temple of Airjitzu,2015,Ninjago,,2028.0,13.0,199.99,400.5000
70752,Jungle Trap,2015,Ninjago,,58.0,2.0,6.99,24.9900
70753,Lava Falls,2015,Ninjago,,94.0,2.0,7.99,29.9900
70754,ElectroMech,2015,Ninjago,,153.0,2.0,14.99,32.8000
70755,Jungle Raider ,2015,Ninjago,,188.0,2.0,19.99,
70756,Dojo Showdown,2015,Ninjago,,215.0,4.0,24.99,125.0000
70778,Protector of Jungle,2015,Bionicle,,64.0,,9.99,
70779,Protector of Stone,2015,Bionicle,,73.0,,9.99,
70780,Protector of Water,2015,Bionicle,,71.0,,9.99,11.0000
70781,Protector of Earth,2015,Bionicle,,66.0,,9.99,38.0000
70782,Protector of Ice,2015,Bionicle,,68.0,,9.99,9.9900
70783,Protector of Fire,2015,Bionicle,,69.0,,9.99,
70784,Lewa - Master of Jungle,2015,Bionicle,,85.0,,14.99,
70785,Pohatu - Master of Stone,2015,Bionicle,,66.0,,14.99,
70786,Gali - Master of Water,2015,Bionicle,,87.0,,14.99,48.0000
70787,Tahu - Master of Fire,2015,Bionicle,,89.0,,19.99,
70788,Kopaka - Master of Ice,2015,Bionicle,,97.0,,19.99,
70789,Onua - Master of Earth,2015,Bionicle,,108.0,,19.99,45.0000
70790,Lord of Skull Spiders,2015,Bionicle,,145.0,,14.99,49.9900
70791,Skull Warrior,2015,Bionicle,,,,14.99,25.4915
70792,Skull Slicer,2015,Bionicle,,,,14.99,48.0000
70793,Skull Basher,2015,Bionicle,,,,14.99,28.9850
70794,Skull Scorpio,2015,Bionicle,,,,14.99,
70795,Mask Maker vs. Skull Grinder,2015,Bionicle,,,,29.99,125.0000
70817,Batman & Super Angry Kitty Attack,2015,The LEGO Movie,,115.0,3.0,9.99,14.7569
70818,Double-Decker Couch,2015,The LEGO Movie,,197.0,5.0,14.99,40.0000
70819,Bad Cop Car Chase,2015,The LEGO Movie,,292.0,4.0,29.99,80.0000
71008,LEGO Minifigures - Series 13 {Random bag},2015,Collectable Minifigures,Series 13,7.0,,3.99,
71009,LEGO Minifigures - The Simpsons Series 2 {Random bag},2015,Collectable Minifigures,The Simpsons series 2,,,3.99,4.4227
71010,LEGO Minifigures - Series 14 {Random bag},2015,Collectable Minifigures,Series 14,,,3.99,4.4793
71016,Kwik-E-Mart,2015,The Simpsons,,2179.0,6.0,199.99,620.0395
75060,Slave I,2015,Star Wars,Ultimate Collector Series,1996.0,4.0,199.99,685.0000
75072,ARC-170 Starfighter,2015,Star Wars,MicroFighters,95.0,1.0,9.99,33.5876
75073,Vulture Droid,2015,Star Wars,MicroFighters,77.0,1.0,9.99,39.9900
75074,Snowspeeder,2015,Star Wars,MicroFighters,97.0,1.0,9.99,14.9900
75075,AT-AT,2015,Star Wars,MicroFighters,88.0,1.0,9.99,13.9900
75076,Republic Gunship,2015,Star Wars,MicroFighters,105.0,1.0,9.99,38.9900
75077,Homing Spider Droid,2015,Star Wars,MicroFighters,102.0,1.0,9.99,22.4053
75078,Imperial Troop Transport,2015,Star Wars,Rebels,141.0,4.0,12.99,34.9900
75079,Shadow Troopers,2015,Star Wars,Expanded Universe,95.0,4.0,12.99,28.0000
75080,AAT,2015,Star Wars,Episode I,251.0,3.0,24.99,110.0000
75081,T-16 Skyhopper,2015,Star Wars,Episode IV-VI,247.0,2.0,24.99,65.0000
75082,TIE Advanced Prototype,2015,Star Wars,Rebels,355.0,3.0,39.99,170.0000
75083,AT-DP,2015,Star Wars,Rebels,500.0,4.0,49.99,154.9900
75084,Wookiee Gunship,2015,Star Wars,Rebels,570.0,4.0,69.99,349.0000
75085,Hailfire Droid,2015,Star Wars,Episode II,163.0,3.0,19.99,110.0000
75086,Battle Droid Troop Carrier,2015,Star Wars,Episode I,565.0,15.0,39.99,181.2712
75087,Anakin's Custom Jedi Starfighter,2015,Star Wars,The Clone Wars,370.0,3.0,39.99,220.0000
75088,Senate Commando Troopers,2015,Star Wars,Expanded Universe,106.0,4.0,12.99,45.0000
75089,Geonosis Troopers,2015,Star Wars,Expanded Universe,105.0,4.0,12.99,69.6901
75090,Ezra's Speeder Bike,2015,Star Wars,Rebels,253.0,3.0,19.99,99.9900
75091,Flash Speeder,2015,Star Wars,Episode I,312.0,5.0,29.99,55.0000
75092,Naboo Starfighter,2015,Star Wars,Episode I,442.0,9.0,49.99,228.0000
75093,Death Star Final Duel,2015,Star Wars,,724.0,5.0,79.99,120.0000
75094, Imperial Shuttle Tydirium,2015,Star Wars,,937.0,5.0,99.99,188.0000
75095,TIE Fighter,2015,Star Wars,Ultimate Collector Series,1685.0,1.0,199.99,349.9900
75096,Sith Infiltrator,2015,Star Wars,Episode I,,,89.99,189.5095
75097,Star Wars Advent Calendar,2015,Star Wars,Seasonal,292.0,,39.99,55.0000
75099,Rey's Speeder,2015,Star Wars,Episode VII,193.0,,19.99,26.4900
75100,First Order Snowspeeder,2015,Star Wars,Episode VII,444.0,,39.99,48.3615
75101,First Order Special Forces TIE Fighter,2015,Star Wars,Episode VII,517.0,,69.99,75.0000
75102,Poe's X-Wing Fighter,2015,Star Wars,Episode VII,717.0,,79.99,159.6393
75103,First Order Transporter,2015,Star Wars,Episode VII,792.0,,89.99,140.0000
75104,Kylo Ren's Command Shuttle,2015,Star Wars,Episode VII,1004.0,,119.99,74.1758
75105,Millennium Falcon,2015,Star Wars,Episode VII,1332.0,,149.99,151.9100
75106,Imperial Assault Carrier,2015,Star Wars,Rebels,1216.0,6.0,129.99,295.0000
75107,Jango Fett,2015,Star Wars,Battle Figures,85.0,,19.99,44.9910
75108,Clone Commander Cody,2015,Star Wars,Battle Figures,82.0,,19.99,44.9900
75109,Obi-Wan Kenobi,2015,Star Wars,Battle Figures,83.0,,24.99,10.0000
75110,Luke Skywalker,2015,Star Wars,Battle Figures,,,19.99,25.0000
75111,Darth Vader,2015,Star Wars,Battle Figures,,,29.99,45.0000
75112,General Grievous,2015,Star Wars,Battle Figures,186.0,,34.99,79.9900
75899,LaFerrari,2015,Speed Champions,,164.0,1.0,14.99,69.9900
75900,Mummy Museum Mystery,2015,Scooby-Doo,,110.0,2.0,14.99,63.0000
75901,Mystery Plane Adventures,2015,Scooby-Doo,,128.0,2.0,19.99,59.9900
75902,The Mystery Machine,2015,Scooby-Doo,,301.0,3.0,29.99,174.9900
75903,Haunted Lighthouse,2015,Scooby-Doo,,437.0,4.0,49.99,157.4869
75904,Mystery Mansion,2015,Scooby-Doo,,860.0,6.0,89.99,185.2277
75908,458 Italia GT2,2015,Speed Champions,,153.0,1.0,14.99,56.4900
75909,McLaren P1,2015,Speed Champions,,168.0,1.0,14.99,56.9900
75910,Porsche 918 Spyder,2015,Speed Champions,,151.0,1.0,14.99,90.0000
75911,McLaren Mercedes Pit Stop,2015,Speed Champions,,332.0,3.0,29.99,129.9900
75912,Porsche 911 GT Finish Line,2015,Speed Champions,,551.0,4.0,49.99,125.0000
75913,F14 T & Scuderia Ferrari Truck,2015,Speed Champions,,884.0,6.0,99.99,249.9900
75915,Pteranodon Capture,2015,Jurassic World,,174.0,2.0,19.99,50.0000
75916,Dilophosaurus Ambush,2015,Jurassic World,,248.0,2.0,29.99,55.9844
75917,Raptor Rampage,2015,Jurassic World,,324.0,3.0,49.99,119.9900
75918,T-Rex Tracker,2015,Jurassic World,,520.0,3.0,69.99,95.0000
75919,Indominus Rex Breakout,2015,Jurassic World,,1156.0,4.0,129.99,300.0000
75920,Raptor Escape,2015,Jurassic World,,394.0,2.0,39.99,150.0000
